Fiat 5
Panda 2000 2.2
Bravo 1998 2.1
Punto 2005 1.6
Uno 2003 1.3
Multipla 2009 1.9
Ford 9
Ka 2008 1.6
Mondeo 2008 2.4
Escort 2009 2.5
Fiesta 2010 1.6
Galaxy 2005 2.2
Mondeo1 2008 2.4
Escort1 2009 2.5
Fiesta1 2010 1.6
Galaxy1 2005 2.2
Toyota 6
Auris 2008 2.4
Avensis 2007 2.1
Corolla 2003 2.3
Yaris 2012 2.5
Prius 2014 2.1
Celica 2005 1.7
Volkswagen 5
Golf 1999 2.4
Passat 1996 2.2
Polo 2001 1.6
Touran 2003 2.9
Sharan 2009 2.8
Audi 6
A8 2015 2.3
A4 2009 2.4
Coupe 2010 2.3
TT 2010 2.2
V8 2009 2.4
Q3 2011 2.8

2015 - 1
2014 - 1
2012 - 1
2011 - 1
2010 - 4
2009 - 6
2008 - 4
2007 - 1
2005 - 4
2003 - 3
2001 - 1
2000 - 1
1998 - 1
1996 - 1



